Driver,Critical_event,Critical_event_order_exposure,Sequence_exposure_critical_events,Crash_other_vehicle,Crash_guardrail,First_glance_response_time,First_glance_direction
16,C,2,ACB,FALSE,FALSE,0.4,Eyes_Forward
17,C,3,BAC,FALSE,FALSE,0.3,Eyes_Left
18,C,2,BCA,FALSE,FALSE,0.5,Eyes_Forward
19,C,1,CAB,FALSE,FALSE,0.2,Eyes_Forward
20,C,1,CBA,FALSE,FALSE,0.5,Eyes_Forward
21,C,3,ABC,FALSE,FALSE,0.5,Eyes_Forward
22,C,2,ACB,FALSE,FALSE,0.5,Eyes_Forward
23,C,3,BAC,FALSE,FALSE,0.4,Eyes_Forward
24,C,2,BCA,FALSE,FALSE,0.6,Eyes_Forward
25,C,1,CAB,FALSE,FALSE,0.4,Eyes_Forward
26,C,1,CBA,FALSE,FALSE,0.5,Eyes_Forward
27,C,3,ABC,FALSE,FALSE,0.6,Eyes_Forward
28,C,2,ACB,FALSE,FALSE,0.5,Eyes_Dashboard
29,C,3,BAC,FALSE,FALSE,0.4,Eyes_Forward
30,C,2,BCA,FALSE,FALSE,0.6,Eyes_Forward
32,C,1,CBA,FALSE,FALSE,0.4,Eyes_Forward
33,C,3,ABC,FALSE,FALSE,0.5,Eyes_Forward
34,C,2,ACB,FALSE,FALSE,0.4,Eyes_Forward
35,C,3,BAC,FALSE,FALSE,0.7,Eyes_Forward
37,C,1,CAB,FALSE,FALSE,0.6,Eyes_Dashboard
38,C,1,CBA,FALSE,FALSE,0.4,Eyes_Forward
39,C,3,ABC,FALSE,FALSE,0.4,Eyes_Forward
40,C,2,ACB,FALSE,FALSE,0.5,Eyes_Forward
41,C,3,BAC,FALSE,FALSE,0.3,Eyes_Forward
42,C,2,BCA,FALSE,FALSE,0.4,Eyes_Left
43,C,1,CAB,FALSE,FALSE,0.6,Eyes_Forward
44,C,1,CBA,FALSE,FALSE,0.4,Eyes_Left
